#,year,Team Name,Final Position in Constructor Standings,Final Constructor Points,Final Constructor Wins,Total Podiums,Average Race Finish Position,Total Retirements,Average Qualifying Position,Total Pole Positions
1,2016,Mercedes,1,765,19,33,3.4761904761904762,3,2.880952380952381,20
2,2016,Red Bull,2,468,2,16,5.7380952380952381,3,5.5238095238095238,1
3,2016,Ferrari,3,398,0,11,7.4047619047619048,8,5.1666666666666667,0
4,2016,Force India,4,173,0,2,9.9523809523809524,6,8.8571428571428571,0
5,2016,Williams,5,138,0,1,10.5238095238095238,6,9.4285714285714286,0
6,2016,McLaren,6,76,0,0,12.7142857142857143,10,12.5365853658536585,0
7,2016,Toro Rosso,7,63,0,0,13.1666666666666667,10,12.380952380952381,0
8,2016,Haas F1 Team,8,29,0,0,14.4523809523809524,10,13.619047619047619,0
9,2016,Renault,9,8,0,0,15.5238095238095238,11,17.175,0
10,2016,Sauber,10,2,0,0,15.9285714285714286,9,18.951219512195122,0
11,2016,Manor Marussia,11,1,0,0,17.619047619047619,8,19.3902439024390244,0
12,2017,Mercedes,1,668,12,26,3.175,1,3.2,15
13,2017,Ferrari,2,522,5,20,5.475,6,3.55,5
14,2017,Red Bull,3,368,3,13,8.65,13,5.725,0
15,2017,Force India,4,187,0,0,8.35,3,9.725,0
16,2017,Williams,5,83,0,1,11.5,8,13,0
17,2017,Renault,6,57,0,0,13.25,14,11.3846153846153846,0
18,2017,Toro Rosso,7,53,0,0,13.1,13,13.1538461538461538,0
19,2017,Haas F1 Team,8,47,0,0,12.55,8,14.6,0
20,2017,McLaren,9,30,0,0,13.85,18,12.375,0
21,2017,Sauber,10,5,0,0,15.1,11,17.9,0
22,2018,Mercedes,1,655,11,25,3.8571428571428571,3,3,13
23,2018,Ferrari,2,571,6,24,4.9285714285714286,5,3.2380952380952381,6
24,2018,Red Bull,3,419,4,13,7.6428571428571429,12,6.880952380952381,2
25,2018,Renault,4,122,0,0,11.0714285714285714,9,10.5714285714285714,0
26,2018,Haas F1 Team,5,93,0,0,11.9761904761904762,9,10.2857142857142857,0
27,2018,McLaren,6,62,0,0,12.7619047619047619,11,15.0714285714285714,0
28,2018,Force India,7,52,0,1,11.1904761904761905,8,10.6904761904761905,0
29,2018,Sauber,8,48,0,0,12.7857142857142857,10,14.0238095238095238,0
30,2018,Toro Rosso,9,33,0,0,13.880952380952381,12,14.0952380952380952,0
31,2018,Williams,10,7,0,0,14.9047619047619048,6,17.1428571428571429,0
32,2019,Mercedes,1,739,15,32,3.2380952380952381,2,2.6428571428571429,10
33,2019,Ferrari,2,504,3,19,6,6,4.1904761904761905,8
